epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,2116.11,1.01919,0.54998,0.92019,0.52611,0.44302,0.45373,0.2638,1.54646,1.44586,1.31665,0.00107249,0.00107249,0.00107249
128,2132.56,1.01406,0.5461,0.92198,0.30327,0.15466,0.22106,0.12366,2.3403,inf,1.698,0.00106966,0.00106966,0.00106966
129,2148.98,1.04202,0.57785,0.93021,0.35717,0.01422,0.18049,0.11385,3.68106,7.64451,2.87097,0.00106683,0.00106683,0.00106683
130,2165.54,1.03108,0.55573,0.92429,0.73659,0.83265,0.82124,0.55891,1.09242,0.58667,0.93957,0.001064,0.001064,0.001064
131,2181.96,1.02857,0.55897,0.92245,0.2857,0.34167,0.32784,0.1906,1.79509,inf,1.411,0.00106118,0.00106118,0.00106118
132,2198.5,1.02969,0.55853,0.92804,0.58733,0.50199,0.52182,0.32343,1.3246,1.09346,1.09862,0.00105835,0.00105835,0.00105835
133,2215.06,1.02209,0.5456,0.91994,0.78172,0.8815,0.8439,0.57596,1.07415,0.57042,0.92865,0.00105552,0.00105552,0.00105552
134,2231.64,1.01293,0.55128,0.92246,0.75895,0.85679,0.80706,0.54388,1.09039,0.59343,0.93548,0.00105269,0.00105269,0.00105269
135,2248.26,1.03291,0.5663,0.93235,0.76183,0.85482,0.81768,0.55667,1.07646,0.58128,0.93595,0.00104986,0.00104986,0.00104986
136,2264.87,1.00821,0.54187,0.92143,0.6002,0.65011,0.58015,0.35371,1.29676,0.8451,1.09549,0.00104703,0.00104703,0.00104703
137,2281.41,1.03043,0.55511,0.93127,0.78635,0.86611,0.82909,0.55174,1.11532,0.61634,0.9542,0.0010442,0.0010442,0.0010442
138,2298.04,1.02258,0.55642,0.92372,0.73346,0.69035,0.71357,0.46542,1.14108,0.67116,0.96405,0.00104137,0.00104137,0.00104137
139,2314.64,1.01497,0.54543,0.92151,0.75166,0.87024,0.8448,0.57781,1.08544,0.57651,0.93577,0.00103854,0.00103854,0.00103854
140,2331.23,1.01162,0.54347,0.92012,0.75734,0.89679,0.82435,0.55893,1.08921,0.58009,0.94686,0.00103571,0.00103571,0.00103571
141,2347.77,1.01372,0.55471,0.92263,0.53786,0.38413,0.44749,0.27576,1.48257,1.65907,1.20628,0.00103288,0.00103288,0.00103288
142,2364.36,1.00313,0.54021,0.91763,0.78212,0.84123,0.82225,0.55933,1.09258,0.5809,0.94354,0.00103005,0.00103005,0.00103005
143,2380.88,1.00933,0.55693,0.92472,0.74492,0.82083,0.76776,0.50134,1.12849,0.63808,0.96024,0.00102722,0.00102722,0.00102722
144,2397.46,1.02187,0.54518,0.92576,0.81148,0.86621,0.85374,0.57935,1.08336,0.57068,0.93537,0.00102439,0.00102439,0.00102439
145,2413.99,0.99986,0.53611,0.91844,0.41852,0.32851,0.32999,0.18135,1.76537,1.94364,1.56705,0.00102156,0.00102156,0.00102156
